
2024/07/18 (22:24:36) | ===> btop++ v.1.3.2
2024/07/18 (22:24:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/18 (22:24:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/20 (02:41:49) | ===> btop++ v.1.3.2
2024/07/20 (02:41:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/20 (02:41:49) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/20 (13:07:28) | ===> btop++ v.1.3.2
2024/07/20 (13:07:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/20 (13:07:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/20 (16:07:13) | ===> btop++ v.1.3.2
2024/07/20 (16:07:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/20 (16:07:13) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/20 (16:10:06) | ===> btop++ v.1.3.2
2024/07/20 (16:10:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/20 (16:10:06) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/20 (16:11:52) | ===> btop++ v.1.3.2
2024/07/20 (16:11:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/20 (16:11:52) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/20 (16:23:43) | ===> btop++ v.1.3.2
2024/07/20 (16:23:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/20 (16:23:43) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/20 (16:24:59) | ===> btop++ v.1.3.2
2024/07/20 (16:24:59) | WARNING: Invalid box name in config value presets!
2024/07/20 (16:24:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/20 (16:24:59) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/20 (16:25:10) | ===> btop++ v.1.3.2
2024/07/20 (16:25:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/20 (16:25:10) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/20 (16:25:43) | ===> btop++ v.1.3.2
2024/07/20 (16:25:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/20 (16:25:43) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/20 (16:26:02) | ===> btop++ v.1.3.2
2024/07/20 (16:26:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/20 (16:26:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/20 (16:28:53) | ===> btop++ v.1.3.2
2024/07/20 (16:28:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/20 (16:28:53) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/21 (21:36:35) | ===> btop++ v.1.3.2
2024/07/21 (21:36:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/21 (21:36:35) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/21 (22:35:53) | ===> btop++ v.1.3.2
2024/07/21 (22:35:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/21 (22:35:53) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/22 (10:23:59) | ===> btop++ v.1.3.2
2024/07/22 (10:23:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/22 (10:23:59) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/22 (10:39:02) | ===> btop++ v.1.3.2
2024/07/22 (10:39:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/22 (10:39:02) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/22 (12:35:27) | ERROR: Stall in Runner thread, restarting!

2024/07/22 (12:37:46) | ===> btop++ v.1.3.2
2024/07/22 (12:37:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/22 (12:37:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/22 (20:50:17) | ===> btop++ v.1.3.2
2024/07/22 (20:50:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/22 (20:50:17) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/28 (23:45:25) | ===> btop++ v.1.3.2
2024/07/28 (23:45:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/28 (23:45:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/29 (02:46:44) | ===> btop++ v.1.3.2
2024/07/29 (02:46:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/29 (02:46:44) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/30 (01:57:35) | ===> btop++ v.1.3.2
2024/07/30 (01:57:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/30 (01:57:35) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/30 (01:57:37) | ===> btop++ v.1.3.2
2024/07/30 (01:57:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/30 (01:57:37) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/30 (02:26:51) | ===> btop++ v.1.3.2
2024/07/30 (02:26:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/30 (02:26:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/04 (02:33:54) | ===> btop++ v.1.3.2
2024/08/04 (02:33:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/04 (02:33:54) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/05 (18:10:14) | ===> btop++ v.1.3.2
